Jayce,XinZhao,Diana,Jhin,Ekko,Darius,Nidalee,Orianna,Lucian,-10618,200
Jayce,Diana,Lulu,Caitlyn,Nocturne,Smolder,RekSai,Irelia,Jinx,4687,100
TahmKench,Jax,Morgana,Caitlyn,Soraka,Jayce,Kindred,Diana,Jinx,-5065,200
Nasus,Volibear,Brand,Kaisa,Morgana,Mordekaiser,Kindred,Ahri,Caitlyn,7351,100
Sett,Volibear,Nunu,Kaisa,Shen,Nasus,Velkoz,Ahri,Caitlyn,-8042,200
Lillia,Volibear,Diana,Caitlyn,Morgana,Urgot,Amumu,Shen,Jinx,1901,100
Mordekaiser,Kayn,Yone,MissFortune,Yuumi,Kayle,Diana,Annie,Smolder,-6646,200
Illaoi,Nidalee,Diana,Yasuo,Rakan,DrMundo,Nunu,Renekton,MissFortune,-9565,200
Kayn,Sylas,Yone,Draven,Nautilus,Gwen,Amumu,Diana,MissFortune,-8925,200
Urgot,Kayn,Diana,Tristana,Lulu,Poppy,Nocturne,Orianna,Ezreal,-10173,200
DrMundo,Karthus,Ahri,Samira,Thresh,Garen,Shaco,Diana,Twitch,-137,100
Riven,Orianna,Diana,Smolder,Shaco,Gangplank,Belveth,Twitch,Caitlyn,2104,200
Olaf,Shaco,Lissandra,Samira,Leona,Quinn,Maokai,Diana,Ezreal,-480,200
Trundle,JarvanIV,Yasuo,Varus,Shen,Sett,Viego,Yone,KogMaw,-17093,200
Garen,Warwick,Diana,Jinx,Zyra,Darius,Gwen,Vex,KogMaw,-8801,200
Yorick,Naafiri,Hwei,Varus,Janna,Quinn,Brand,Zac,Tristana,-8537,200
KSante,Graves,Yone,Tristana,Nautilus,Kayle,Vi,Ekko,Jhin,-2435,200
Camille,Fizz,Malzahar,Ashe,Nautilus,Gnar,JarvanIV,Naafiri,Varus,-10974,200
Jayce,Diana,Sylas,Jhin,Xerath,Syndra,Viego,Zed,Aphelios,-7607,200
Yasuo,Ekko,Kassadin,Smolder,Pyke,Jax,Amumu,Diana,Jinx,-11483,200
Warwick,Diana,Shen,MissFortune,Renata,Udyr,Nocturne,Syndra,Zilean,-11143,200
Kayle,Nocturne,Zoe,Varus,Morgana,Camille,Skarner,Yone,Aphelios,-35,100
Yone,Hecarim,Diana,Neeko,Caitlyn,Twitch,Warwick,Vex,Kalista,-8913,200
Volibear,Darius,Diana,Seraphine,Neeko,Kennen,Kayn,Irelia,Aphelios,8150,100
Mordekaiser,Shyvana,Yasuo,KogMaw,Taric,Aatrox,JarvanIV,Diana,Ashe,10079,100
Mordekaiser,MissFortune,Talon,Diana,Amumu,Tryndamere,Viego,Khazix,Lucian,5497,100
Camille,Kayn,Garen,Jhin,Swain,Illaoi,Amumu,Lux,MissFortune,13664,100
Chogath,Trundle,Jhin,MissFortune,Brand,Senna,Skarner,Lux,Tristana,-11894,200
Quinn,Rammus,Naafiri,Caitlyn,Lux,Malphite,Shaco,Nami,Lucian,-5173,200
Darius,Lillia,Ryze,MissFortune,Lux,Aatrox,Graves,Diana,Sivir,16234,100
Urgot,Lillia,Vex,Kaisa,Nami,Aatrox,Shyvana,Diana,Varus,-8892,200
Kayle,LeeSin,Yasuo,Twitch,Blitzcrank,Aatrox,Diana,Darius,Jhin,-9987,200
Mordekaiser,Shyvana,Diana,Yasuo,Alistar,Warwick,Skarner,Lux,Trundle,-6684,200
Aatrox,Kayn,Diana,KogMaw,Sion,Zilean,Evelynn,Qiyana,Ezreal,15803,100
Darius,Sejuani,TwistedFate,Caitlyn,Renata,Nasus,Diana,Olaf,Jinx,9939,100
Chogath,Shyvana,Talon,Jhin,Nautilus,Nasus,Amumu,Vi,Caitlyn,1752,100
Gwen,Volibear,Hwei,Varus,Yuumi,Sion,Kayn,Pantheon,Nilah,10069,100
